"Indicator type","Indicator","Description"
"IPv4","46.101.56.21",""
"IPv4","20.97.168.69",""
"IPv4","223.149.54.145",""
"IPv4","178.175.9.233",""
"IPv4","61.53.90.255",""
"IPv4","178.175.90.76",""
"IPv4","206.189.138.207",""
"IPv4","139.59.78.57",""
"IPv4","167.99.132.245",""
"IPv4","157.245.76.210",""
"IPv4","142.93.142.235",""
"IPv4","143.198.63.195",""
"IPv4","64.225.55.36",""
"IPv4","64.225.107.30",""
"IPv4","206.81.22.89",""
"IPv4","139.59.71.238",""
"IPv4","64.225.56.198",""
"IPv4","206.189.6.145",""
"IPv4","68.183.92.35",""
"IPv4","64.225.107.38",""
"IPv4","143.198.36.155",""
"IPv4","139.59.80.133",""
"IPv4","105.159.4.247",""
"IPv4","178.175.95.5",""
"IPv4","142.93.217.254",""
"IPv4","157.245.75.83",""
"IPv4","139.59.95.200",""
"IPv4","103.47.104.224",""
"IPv4","105.155.9.57",""
"IPv4","64.188.1.196",""
"IPv4","165.22.201.72",""
"IPv4","36.77.158.16",""
"IPv4","182.116.114.252",""
"IPv4","178.175.49.145",""
"IPv4","27.223.255.244",""
"IPv4","182.127.212.55",""
"IPv4","125.41.207.143",""
"IPv4","192.241.206.168",""
"IPv4","192.241.211.90",""
"IPv4","165.22.219.22",""
"IPv4","58.219.236.141",""
"IPv4","206.189.139.174",""
"IPv4","144.126.216.32",""
"IPv4","13.90.76.209",""
"IPv4","165.22.201.90",""
"IPv4","112.248.244.51",""
"IPv4","165.22.215.203",""
"IPv4","178.175.7.232",""
"IPv4","188.166.1.200",""
"IPv4","143.198.62.241",""
"IPv4","165.22.195.47",""
"IPv4","20.84.81.166",""
"IPv4","150.158.212.199",""
"IPv4","82.151.123.135",""
"IPv4","58.255.133.142",""
"IPv4","120.85.149.222",""
"IPv4","36.74.43.65",""
"IPv4","209.149.145.162",""
"IPv4","182.127.23.91",""
"IPv4","117.202.68.140",""
"IPv4","3.91.91.116",""
"IPv4","42.58.162.42",""
"IPv4","3.86.10.37",""
"IPv4","61.3.155.50",""
"IPv4","66.249.83.91",""
"IPv4","66.249.83.84",""
"IPv4","66.249.83.85",""
"IPv4","66.220.31.147",""
"IPv4","192.241.206.68",""
"IPv4","3.89.159.190",""
"IPv4","192.241.207.249",""
"IPv4","27.41.194.2",""
"IPv4","125.42.207.206",""
"IPv4","178.175.54.192",""
"IPv4","183.93.99.176",""
"IPv4","171.119.200.195",""
"IPv4","144.202.42.101",""
"IPv4","178.72.77.40",""
"IPv4","87.239.255.25",""
"IPv4","45.32.207.37",""
"IPv4","163.204.216.85",""
"IPv4","107.144.147.36",""
"IPv4","35.231.11.249",""
"IPv4","178.175.15.127",""
"IPv4","222.141.171.92",""
"IPv4","103.71.22.99",""
"IPv4","178.175.126.193",""
"IPv4","192.241.209.207",""
"IPv4","192.241.208.171",""
"IPv4","190.81.117.219",""
"IPv4","23.101.199.109",""
"IPv4","62.4.16.209",""
"IPv4","54.161.24.126",""
"IPv4","112.94.96.56",""
"IPv4","175.5.91.189",""
"IPv4","192.241.216.109",""
"IPv4","192.241.220.120",""
"IPv4","134.209.35.213",""
"IPv4","64.225.49.7",""
"IPv4","157.230.90.74",""
"IPv4","157.230.178.151",""
"IPv4","163.172.243.211",""
"IPv4","64.227.125.96",""
"IPv4","157.230.242.81",""
"IPv4","64.227.116.227",""
"IPv4","119.123.221.123",""
"IPv4","165.22.211.226",""
"IPv4","165.22.66.139",""
"IPv4","206.189.52.169",""
"IPv4","64.227.66.234",""
"IPv4","51.89.117.194",""
"IPv4","167.71.235.12",""
"IPv4","165.22.211.59",""
"IPv4","167.71.226.4",""
"IPv4","165.232.155.83",""
"IPv4","143.198.38.67",""
"IPv4","168.121.49.115",""
"IPv4","123.209.242.160",""
"IPv4","159.89.23.58",""
"IPv4","178.128.104.173",""
"IPv4","105.158.191.196",""
"IPv4","34.204.79.174",""
"IPv4","87.166.51.76",""
"IPv4","13.58.203.198",""
"IPv4","192.241.217.180",""
"IPv4","192.241.216.236",""
"IPv4","178.175.110.24",""
"IPv4","136.144.41.111",""
"IPv4","165.22.66.227",""
"IPv4","103.47.104.245",""
"IPv4","89.248.171.23",""
"IPv4","149.28.84.31",""
"IPv4","45.55.224.230",""
"IPv4","192.241.220.128",""
"IPv4","171.125.234.198",""
"IPv4","157.245.66.154",""
"IPv4","18.216.19.112",""
"IPv4","173.255.254.45",""
"IPv4","51.75.191.88",""
"IPv4","18.209.228.252",""
"IPv4","68.183.205.238",""
"IPv4","128.199.19.191",""
"IPv4","134.122.2.222",""
"IPv4","159.203.69.16",""
"IPv4","45.77.120.36",""
"IPv4","178.128.226.66",""
"IPv4","120.209.127.79",""
"IPv4","192.241.216.43",""
"IPv4","192.241.217.51",""
"IPv4","192.241.213.194",""
"IPv4","18.212.155.135",""
"IPv4","192.241.222.115",""
"IPv4","23.99.88.44",""
"IPv4","192.241.213.168",""
"IPv4","165.22.76.68",""
"IPv4","82.151.125.228",""
"IPv4","68.183.80.52",""
"IPv4","222.186.135.26",""
"IPv4","161.35.136.97",""
"IPv4","128.199.94.183",""
"IPv4","139.177.198.211",""
"IPv4","178.175.73.158",""
"IPv4","46.101.53.167",""
"IPv4","34.102.81.202",""
"IPv4","45.55.62.163",""
"IPv4","168.62.16.187",""
"IPv4","134.122.15.186",""
"IPv4","134.209.250.65",""
"IPv4","159.89.184.23",""
"IPv4","134.122.15.187",""
"IPv4","156.234.95.146",""
"IPv4","134.122.15.228",""
"IPv4","185.220.100.249",""
"IPv4","23.129.64.162",""
"IPv4","213.164.205.168",""
"IPv4","138.197.1.194",""
"IPv4","217.182.76.127",""
"IPv4","147.135.105.62",""
"IPv4","91.208.52.61",""
"IPv4","113.245.218.183",""
"IPv4","114.116.196.226",""
"IPv4","20.85.237.228",""
"IPv4","103.155.146.6",""
"IPv4","157.230.104.246",""
"IPv4","192.241.220.204",""
"IPv4","222.244.255.156",""
"IPv4","185.169.233.159",""
"IPv4","168.63.62.27",""
"IPv4","159.203.101.166",""
"IPv4","69.162.231.196",""
"IPv4","171.95.85.179",""
"IPv4","158.101.99.71",""
"IPv4","174.211.68.41",""
"IPv4","73.107.218.197",""
"IPv4","103.101.161.81",""
"IPv4","34.238.146.206",""
"IPv4","167.99.52.46",""
"IPv4","115.99.244.219",""
"IPv4","174.138.26.153",""
"IPv4","54.89.149.42",""
"IPv4","125.106.44.139",""
"IPv4","1.15.132.100",""
"IPv4","92.196.121.9",""
"IPv4","115.28.210.28",""
"IPv4","52.255.163.57",""
"IPv4","105.158.181.63",""
"IPv4","64.227.7.210",""
"IPv4","159.89.135.136",""
"IPv4","202.164.138.44",""
